a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
58,2006,5,0.699,203,147,201,27.10.11,15.05.12,25.05.11,106,2011,f,high fat,7,yes
59,2006,1,0,257,183,306,23.08.07,24.06.08,10.04.07,111,2007,f,high fat,5,no
59,2006,2,0.301,203,130,321,10.07.08,27.05.09,24.06.08,183,2008,f,medium,5,no
59,2006,3,0.4771,164,112,307,26.08.09,29.06.10,27.05.09,130,2009,f,protein,5,no
59,2006,4,0.6021,237,182,288,07.09.10,22.06.11,29.06.10,112,2010,f,high fat,5,no
60,2007,1,0,220,109,282,08.09.08,17.06.09,23.04.08,78,2008,f,high fat,2,no
61,2007,2,0.301,161,105,342,01.07.09,08.06.10,01.07.09,161,2009,f,medium,,no
61,2007,3,0.4771,202,130,281,07.09.10,15.06.11,08.06.10,105,2010,f,high fat,,no
61,2007,4,0.6021,236,163,321,03.08.11,19.06.12,15.06.11,130,2011,f,protein,,no
61,2007,5,0.6021,205,138,316,24.07.12,05.06.13,19.06.12,163,2012,f,medium,,no
61,2007,6,0.7782,175,137,273,28.08.13,28.05.14,05.06.13,138,2013,f,medium,,no
61,2007,7,0.8451,190,114,301,16.07.14,13.05.15,28.05.14,137,2014,f,medium,,no
62,2007,1,0,198,98,268,08.09.08,03.06.09,05.06.08,91,2008,f,high fat,6,no
62,2007,2,0.301,234,163,287,02.09.09,16.06.10,03.06.09,98,2009,f,high fat,6,no
62,2007,3,0.4771,217,145,253,28.09.10,08.06.11,16.06.10,163,2010,f,high fat,6,yes
62,2007,5,0.699,218,148,302,21.08.12,19.06.13,22.03.12,184,2012,f,medium,6,yes
63,2007,1,0,168,94,338,22.07.08,25.06.09,24.06.08,128,2008,f,medium,5,no
63,2007,2,0.301,118,85,244,30.09.09,01.06.10,25.06.09,94,2009,f,protein,5,no
63,2007,3,0.4771,208,136,288,07.09.10,22.06.11,01.06.10,85,2010,f,high fat,5,no
63,2007,4,0.6021,234,154,286,14.09.11,26.06.12,22.06.11,136,2011,f,protein,5,no
64,2007,1,0,181,117,313,29.08.08,08.07.09,24.06.08,104,2008,f,medium,,no
64,2007,2,0.301,137,98,244,30.09.09,01.06.10,08.07.09,117,2009,f,protein,,no
64,2007,3,0.4771,210,170,302,17.08.10,15.06.11,01.06.10,98,2010,f,high fat,,no
64,2007,4,0.6021,227,186,349,29.06.11,12.06.12,15.06.11,170,2011,f,protein,,no
64,2007,5,0.699,221,128,295,03.07.12,24.04.13,12.06.12,186,2012,f,medium,,no
