scientific_name,family,reproductive_mode,ac,median_depth,max_size_cm,ventilation_method,habitat,estimate_type,mortality_prop,gear_class,estimate_type_new
Centroselachus crepidater,Somniosidae,lecithotrophic viviparity,4.2579,1140,105,stationary,demersal,PRM Longline,0.3320245174912572,Longline,PRM
Cirrhigaleus australis,Squalidae,lecithotrophic viviparity,8.3281,500,123,stationary,pelagic,AVM Longline,0.1557905564533036,Longline,AVM
Cirrhigaleus australis,Squalidae,lecithotrophic viviparity,8.3281,500,123,stationary,pelagic,PRM Longline,0.33804940394302707,Longline,PRM
Deania quadrispinosa,Centrophoridae,lecithotrophic viviparity,6.4249,755,118,stationary,demersal,AVM Longline,0.1618722663757136,Longline,AVM
Deania quadrispinosa,Centrophoridae,lecithotrophic viviparity,6.4249,755,118,stationary,demersal,PRM Longline,0.3079699662236446,Longline,PRM
Echinorhinus cookei,Echinorhinidae,lecithotrophic viviparity,6.4253,555.5,400,stationary,pelagic,AVM Longline,0.16255036706879378,Longline,AVM
Echinorhinus cookei,Echinorhinidae,lecithotrophic viviparity,6.4253,555.5,400,stationary,pelagic,PRM Longline,0.22688672139874327,Longline,PRM
Etmopterus dianthus,Etmopteridae,lecithotrophic viviparity,6.274288889,540,40.90000153,stationary,pelagic,AVM Longline,0.16713131497890513,Longline,AVM
Etmopterus dianthus,Etmopteridae,lecithotrophic viviparity,6.274288889,540,40.90000153,stationary,pelagic,PRM Longline,0.31281617862754657,Longline,PRM
Etmopterus dislineatus,Etmopteridae,lecithotrophic viviparity,6.274288889,695,44.79999924,stationary,pelagic,AVM Longline,0.16645321428582494,Longline,AVM
Etmopterus dislineatus,Etmopteridae,lecithotrophic viviparity,6.274288889,695,44.79999924,stationary,pelagic,PRM Longline,0.3119094393386564,Longline,PRM
Etmopterus unicolor,Etmopteridae,lecithotrophic viviparity,1.4346,810,79,stationary,demersal,AVM Longline,0.12887917720782718,Longline,AVM
Etmopterus unicolor,Etmopteridae,lecithotrophic viviparity,1.4346,810,79,stationary,demersal,PRM Longline,0.3294974473346202,Longline,PRM
