family,binomial_name,common_name,endocranial_volume,brain_mass,ocw_mm,body_mass
Eurhinodelphidae,Schizodelphis_longirostris,NA,595.600,471.001,81.370,259.601
Eurhinodelphidae,n._gen._n._sp.,NA,323.000,274.865,81.700,262.915
Eurhinodelphidae,Eurhinodelphis_bossi,NA,625.900,493.327,82.000,265.954
Eurhinodelphidae,Xiphiacetus_bossi,NA,625.900,395.057,82.000,265.954
Eurhinodelphidae,Eurhinodelphis_cristatus,NA,769.700,598.358,82.395,269.995
Eurhinodelphidae,Schizodelphis_longirostris,NA,388.100,315.804,82.470,270.762
Eurhinodelphidae,Schizodelphis_longirostris,NA,361.200,295.327,83.000,276.255
Eurhinodelphidae,Xiphiacetus_sp.,NA,574.500,366.644,84.000,286.824
Eurhinodelphidae,Eurhinodelphis_sp.,NA,574.500,455.410,84.000,286.824
Eurhinodelphidae,Xiphiacetus_bossi,NA,949.300,567.847,89.000,343.825
Eurhinodelphidae,Eurhinodelphis_bossi,NA,949.300,727.726,89.000,343.825
Eurhinodelphidae,Xiphiacetus_cristatus,NA,816.300,497.887,92.400,386.707
Eurhinodelphidae,Xiphiacetus_cristatus,NA,769.700,473.036,92.400,386.707
Eurhinodelphidae,Eurhinodelphis_n._sp._V*,NA,627.200,494.283,99.000,480.083
Eurhinodelphidae,Xiphiacetus_n._sp._V.,NA,627.200,395.772,99.000,480.083
Eurhinodelphidae,Eurhinodelphis_cristatus,NA,816.300,632.101,100.000,495.450
Giraffoidea,Samotherium,NA,420.000,351.176,136.580,1263.349
Homacodontidae,Homacodon_vagans,NA,9.500,9.901,NA,1.900
Hyopsodontidae,Hyopsodus_lepidus,NA,2.790,3.155,NA,0.412
Hyopsodontidae,Hyopsodus_miticulus,NA,3.200,3.586,NA,0.630
Hypertragulidae,Hypertragulus,NA,8.500,8.924,NA,2.500
Kentriodontidae,Kentriodon_pernix,NA,276.000,237.357,53.000,17.037
Kentriodontidae,Kentriodon_pernix,NA,230.300,200.472,54.200,18.556
Kentriodontidae,Kentriodon_sp.,NA,638.000,502.223,67.000,41.653
Kentriodontidae,Kentriodon_n._sp._W,NA,305.100,252.282,70.000,49.227
Kogiidae,n._gen._n._sp.,NA,2348.400,1749.700,129.000,1100.775
Kogiidae,Aprixokogia_kelloggi,NA,2348.400,1694.723,129.000,1100.775
Leptomerycidae,Leptomeryx_sp.,NA,17.100,17.136,NA,3.140
Lipotidae,Lipotes_vexillifer,NA,510.000,407.504,80.021,246.343
Llanocetidae,Llanocetus_denticrenatus,NA,2525.000,1872.161,216.000,5540.035
Mammalodontidae,Janjucetus_hunderi,NA,708.619,572.095,109.000,649.131
Meniscotheriidae,Meniscotherium_robustum,NA,15.000,15.679,NA,6.200
Meniscotheriidae,Meniscotherium_meniscum,NA,12.000,12.732,NA,6.800
Merocoidodontidae,Bathygenys,NA,14.360,14.559,NA,2.700
Merocoidodontidae,Leptauchenia_decora,NA,13.600,13.838,NA,6.480
Merocoidodontidae,Mericoidodon,NA,20.000,19.834,NA,23.000
Merocoidodontidae,Mericoidodon,NA,50.000,46.645,NA,46.000
Merocoidodontidae,Merycochoerus,NA,77.000,69.794,NA,120.000
Merocoidodontidae,Promerycochoerus,NA,160.000,142.718,NA,150.000
Monodontidae,Monodon_monoceros,NA,2993.700,2125.701,173.757,1578.117
Moschidae,Dremotherium,NA,53.000,49.252,NA,19.000
Oromerycidae,Protylopus,NA,13.000,13.720,NA,2.600
Oromerycidae,Eotylopus,NA,22.000,21.679,NA,10.000
Pakicetidae,Ichthyolestes,NA,10.370,10.744,36.000,20.138
Pakicetidae,Ichthyolestes,NA,14.910,15.079,41.000,30.275
Pakicetidae,Nalacetus,NA,28.958,28.017,54.400,73.469
Palaeomerycidae,Aletomeryx,NA,45.000,42.277,NA,16.000
Patriocetidae,n._gen._n._sp.,NA,857.100,683.206,100.760,507.351
Pelocetidae,Parietobalaena_palmeri,NA,1073.589,842.957,102.800,540.255
Phenacodontidae,Phenacodus_primaevus,NA,35.000,33.438,NA,52.800
Phocoenidae,Phocoena_spinipinnis,NA,597.000,487.548,76.200,68.042
Phocoenidae,Semirostrum_ceruttii,NA,698.930,546.848,NA,103.232
Physeteridae,Orycterocetus_crocodilinus,NA,2188.900,1587.047,123.000,948.096
Physeteridae,Physeter_macrocephalus,NA,7999.400,7715.640,393.434,36301.447
Platanistidae,Dilophodelphis_fordycei,NA,486.500,402.793,73.000,184.721
Platanistidae,indet._indet.,NA,486.500,389.952,73.000,184.721
Platanistidae,Platanista_gangetica,NA,298.900,255.681,74.362,195.742
Platanistidae,Allodelphis_pratti,NA,854.800,681.495,97.100,451.785
Platanistidae,Pomatodelphis?_sp.,NA,365.300,308.308,97.700,460.595
Pleuraspidotheriidae,Pleuraspidotherium_aumonieri,NA,6.000,6.448,NA,3.300
Pontoporiidae,Pontoporia_blainvillei,NA,219.800,191.931,63.418,118.833
Protoceratidae,Leptotragulus_sp.,NA,21.417,21.142,NA,8.818
Protoceratidae,Protoceras,NA,58.000,55.375,NA,12.000
Protocetidae,Indocetus_kasrani,NA,290.000,240.610,88.700,340.205
Protocetidae,Dhaedacetus hyaeni,NA,288,226.875,91.6,376.307
Raoellidae,Khirtharia,NA,5.580,6.473,18.000,0.611
Raoellidae,Indohyus,NA,8.303,8.732,23.000,4.943
Remingtonocetidae,Andrewsiphius_sloani_IITR_SB_3153,NA,112.000,88.254,60.000,99.886
Remingtonocetidae,Andrewsiphius_sloani_IITR_SB_2751,NA,110.480,87.210,61.600,108.476
Remingtonocetidae,Remingtonocetus_harudiensis_IITR_SB_2770,NA,253.000,85.329,87.000,320.179
Remingtonocetidae,Dalanistes_ahmedi,NA,400.000,324.833,104.800,573.895
Simocetidae,Simocetus_rayi,NA,530.600,422.846,65.000,128.376
Squalodontidae,Squalodon_calvertensis,NA,630.700,496.857,95.000,421.855
Squalodontidae,Squalodon_calvertensis,NA,617.200,486.924,95.000,421.855
Suidae,Perchoerus_sp.,NA,47.629,44.577,NA,32.106
Suidae,Phacochoerus_africanus,NA,NA,132.500,53.620,68.285
Suidae,Phacochoerus_aethiopicus,NA,132.000,115.422,NA,68.610
Suidae,Phacochoerus_aethiopicus,NA,143.300,125.000,55.450,76.106
Tayussuidae,Tayassu_pecari,NA,105.000,93.225,NA,24.280
Tragulidae,Tragulus_meminna,NA,18.000,17.976,NA,2.200
Xenorophidae,Albertocetus_meffordorum,NA,478.800,396.842,70.700,167.082
Xenorophidae,Xenorophus_n._sp.,NA,861.400,521.764,83.590,282.458
Xenorophidae,Xenorophus_n._sp.,NA,861.400,521.764,83.600,282.564
Ziphiidae,Squaloziphius_emlongi,NA,706.900,552.666,108.000,630.643
Ziphiidae,Mesoplodon_densirostris,NA,1457.500,1121.192,143.628,670.000
